"","state","year","barrels","type"
"133","HI",2008,1875.2,"On Premises"
"134","HI",2009,1578.85,"On Premises"
"135","HI",2010,1680.25,"On Premises"
"136","HI",2011,1886.65,"On Premises"
"137","HI",2012,2084.01,"On Premises"
"138","HI",2013,1972.63,"On Premises"
"139","HI",2014,1380.6,"On Premises"
"140","HI",2015,4131.2,"On Premises"
"141","HI",2016,5623.03,"On Premises"
"142","HI",2017,8503.95,"On Premises"
"143","HI",2018,12037.94,"On Premises"
"144","HI",2019,11721.24,"On Premises"
"145","IA",2008,6817.26,"On Premises"
"146","IA",2009,6487.26,"On Premises"
"147","IA",2010,6597.31,"On Premises"
"148","IA",2011,6808.03,"On Premises"
"149","IA",2012,6515.51,"On Premises"
"150","IA",2013,6003.19,"On Premises"
"151","IA",2014,5676.54,"On Premises"
"152","IA",2015,17866.34,"On Premises"
"153","IA",2016,29975.6,"On Premises"
"154","IA",2017,49090.14,"On Premises"
"155","IA",2018,74918.83,"On Premises"
"156","IA",2019,61429.37,"On Premises"
"157","ID",2008,3385.1,"On Premises"
"158","ID",2009,3195.88,"On Premises"
"159","ID",2010,4089.04,"On Premises"
"160","ID",2011,5305.86,"On Premises"
"161","ID",2012,5376.69,"On Premises"
"162","ID",2013,4675.48,"On Premises"
"163","ID",2014,4573.66,"On Premises"
"164","ID",2015,13809.09,"On Premises"
"165","ID",2016,7812.7,"On Premises"
"166","ID",2017,9438.59,"On Premises"
"167","ID",2018,12906.99,"On Premises"
"168","ID",2019,13178.42,"On Premises"
"169","IL",2008,17941.55,"On Premises"
"170","IL",2009,17090.05,"On Premises"
"171","IL",2010,20051.7,"On Premises"
"172","IL",2011,22028.03,"On Premises"
"173","IL",2012,23229.73,"On Premises"
"174","IL",2013,26271.03,"On Premises"
"175","IL",2014,91311.09,"On Premises"
"176","IL",2015,46217.44,"On Premises"
"177","IL",2016,72776.5,"On Premises"
"178","IL",2017,104165.94,"On Premises"
"179","IL",2018,134257.55,"On Premises"
"180","IL",2019,118482.59,"On Premises"
"181","IN",2008,8775.27,"On Premises"
"182","IN",2009,9190.01,"On Premises"
"183","IN",2010,10589.68,"On Premises"
"184","IN",2011,11063.82,"On Premises"
"185","IN",2012,13120.19,"On Premises"
"186","IN",2013,13119.35,"On Premises"
"187","IN",2014,16356.6,"On Premises"
"188","IN",2015,32880.57,"On Premises"
"189","IN",2016,36829.47,"On Premises"
"190","IN",2017,42795.43,"On Premises"
"191","IN",2018,49318.85,"On Premises"
"192","IN",2019,55688.14,"On Premises"
"193","KS",2008,7386.89,"On Premises"
"194","KS",2009,6970.03,"On Premises"
"195","KS",2010,7579.85,"On Premises"
"196","KS",2011,8113.96,"On Premises"
"197","KS",2012,7821.78,"On Premises"
"198","KS",2013,7415.82,"On Premises"
"199","KS",2014,7461.26,"On Premises"
"200","KS",2015,6624.1,"On Premises"
"201","KS",2016,9095.51,"On Premises"
"202","KS",2017,11772.39,"On Premises"
"203","KS",2018,12510.22,"On Premises"
"204","KS",2019,14480.41,"On Premises"
"205","KY",2008,5205.78,"On Premises"
"206","KY",2009,5672.58,"On Premises"
"207","KY",2010,5289.92,"On Premises"
"208","KY",2011,4597.34,"On Premises"
"209","KY",2012,4949.54,"On Premises"
"210","KY",2013,6460.08,"On Premises"
"211","KY",2014,6234.52,"On Premises"
"212","KY",2015,7183.35,"On Premises"
"213","KY",2016,16546.76,"On Premises"
"214","KY",2017,27147.95,"On Premises"
"215","KY",2018,27648.33,"On Premises"
"216","KY",2019,24404.79,"On Premises"
"217","LA",2008,1421.57,"On Premises"
"218","LA",2009,1513.57,"On Premises"
