"","state","year","barrels","type"
"656","AR",2015,872.11,"Bottles and Cans"
"657","AR",2016,1737.1,"Bottles and Cans"
"658","AR",2017,8723.15,"Bottles and Cans"
"659","AR",2018,1668.5,"Bottles and Cans"
"660","AR",2019,10033.89,"Bottles and Cans"
"661","AZ",2008,6980.87,"Bottles and Cans"
"662","AZ",2009,7383.27,"Bottles and Cans"
"663","AZ",2010,10380.26,"Bottles and Cans"
"664","AZ",2011,14057.56,"Bottles and Cans"
"665","AZ",2012,18411.25,"Bottles and Cans"
"666","AZ",2013,22318.65,"Bottles and Cans"
"667","AZ",2014,29645.05,"Bottles and Cans"
"668","AZ",2015,44032.85,"Bottles and Cans"
"669","AZ",2016,59031.78,"Bottles and Cans"
"670","AZ",2017,66483.94,"Bottles and Cans"
"671","AZ",2018,56861.38,"Bottles and Cans"
"672","AZ",2019,213919.27,"Bottles and Cans"
"673","CA",2008,20082718.48,"Bottles and Cans"
"674","CA",2009,19452836.45,"Bottles and Cans"
"675","CA",2010,19095643.27,"Bottles and Cans"
"676","CA",2011,18204514.85,"Bottles and Cans"
"677","CA",2012,18940276.02,"Bottles and Cans"
"678","CA",2013,17838853.36,"Bottles and Cans"
"679","CA",2014,18052809.23,"Bottles and Cans"
"680","CA",2015,17701780.59,"Bottles and Cans"
"681","CA",2016,17569308.63,"Bottles and Cans"
"682","CA",2017,16705423.6,"Bottles and Cans"
"683","CA",2018,16122748.84,"Bottles and Cans"
"684","CA",2019,15495820.4,"Bottles and Cans"
"685","CO",2008,24182900.4,"Bottles and Cans"
"686","CO",2009,21095113.55,"Bottles and Cans"
"687","CO",2010,18742266.67,"Bottles and Cans"
"688","CO",2011,18820319.55,"Bottles and Cans"
"689","CO",2012,19267902.29,"Bottles and Cans"
"690","CO",2013,18549122.13,"Bottles and Cans"
"691","CO",2014,18035909.8,"Bottles and Cans"
"692","CO",2015,17755216.77,"Bottles and Cans"
"693","CO",2016,18105206.85,"Bottles and Cans"
"694","CO",2017,17964522.31,"Bottles and Cans"
"695","CO",2018,16457400.82,"Bottles and Cans"
"696","CO",2019,17351292.18,"Bottles and Cans"
"697","CT",2008,1985.86,"Bottles and Cans"
"698","CT",2009,3152.59,"Bottles and Cans"
"699","CT",2010,4822.66,"Bottles and Cans"
"700","CT",2011,5578.56,"Bottles and Cans"
"701","CT",2012,6372.31,"Bottles and Cans"
"702","CT",2013,21549.9,"Bottles and Cans"
"703","CT",2014,50874.7,"Bottles and Cans"
"704","CT",2015,80241.6,"Bottles and Cans"
"705","CT",2016,85586.12,"Bottles and Cans"
"706","CT",2017,123130.64,"Bottles and Cans"
"707","CT",2018,117099.4,"Bottles and Cans"
"708","CT",2019,113684.6,"Bottles and Cans"
"709","DC",2008,732.36,"Bottles and Cans"
"710","DC",2009,629.61,"Bottles and Cans"
"711","DC",2010,184.8,"Bottles and Cans"
"712","DC",2011,332.23,"Bottles and Cans"
"713","DC",2012,1727.77,"Bottles and Cans"
"714","DC",2013,3546.13,"Bottles and Cans"
"715","DC",2014,4265.73,"Bottles and Cans"
"716","DC",2015,9222.28,"Bottles and Cans"
"717","DC",2016,9485.89,"Bottles and Cans"
"718","DC",2017,10449.74,"Bottles and Cans"
"719","DC",2018,11505.98,"Bottles and Cans"
"720","DC",2019,7808.04,"Bottles and Cans"
"721","DE",2008,57376.89,"Bottles and Cans"
"722","DE",2009,73743.37,"Bottles and Cans"
"723","DE",2010,89753.27,"Bottles and Cans"
"724","DE",2011,109745.27,"Bottles and Cans"
"725","DE",2012,129493.68,"Bottles and Cans"
"726","DE",2013,148156.85,"Bottles and Cans"
"727","DE",2014,167806.22,"Bottles and Cans"
"728","DE",2015,176483.9,"Bottles and Cans"
"729","DE",2016,174130.96,"Bottles and Cans"
"730","DE",2017,214555.74,"Bottles and Cans"
"731","DE",2018,217018.27,"Bottles and Cans"
"732","DE",2019,224084.01,"Bottles and Cans"
"733","FL",2008,8301524.51,"Bottles and Cans"
"734","FL",2009,9028726.18,"Bottles and Cans"
"735","FL",2010,9232548.52,"Bottles and Cans"
"736","FL",2011,9380672.31,"Bottles and Cans"
"737","FL",2012,9738023.02,"Bottles and Cans"
"738","FL",2013,9521482.11,"Bottles and Cans"
"739","FL",2014,9439058.04,"Bottles and Cans"
"740","FL",2015,9842764.82,"Bottles and Cans"
"741","FL",2016,10028963.53,"Bottles and Cans"
"742","FL",2017,9755349.98,"Bottles and Cans"
"743","FL",2018,9944711.04,"Bottles and Cans"
"744","FL",2019,9013013.49,"Bottles and Cans"
"745","GA",2008,14460115.55,"Bottles and Cans"
"746","GA",2009,15110122.41,"Bottles and Cans"
"747","GA",2010,14321565.18,"Bottles and Cans"
"748","GA",2011,14700163.67,"Bottles and Cans"
"749","GA",2012,15000803.63,"Bottles and Cans"
"750","GA",2013,14681673.2,"Bottles and Cans"
"751","GA",2014,13929282.27,"Bottles and Cans"
"752","GA",2015,12869372.66,"Bottles and Cans"
"753","GA",2016,13468949.41,"Bottles and Cans"
"754","GA",2017,13440658.34,"Bottles and Cans"
"755","GA",2018,13665906.76,"Bottles and Cans"
"756","GA",2019,12855949.27,"Bottles and Cans"
"757","HI",2008,3244.23,"Bottles and Cans"
"758","HI",2009,5154.78,"Bottles and Cans"
"759","HI",2010,7518.77,"Bottles and Cans"
"760","HI",2011,12683.85,"Bottles and Cans"
"761","HI",2012,13350.64,"Bottles and Cans"
"762","HI",2013,13208.44,"Bottles and Cans"
"763","HI",2014,13039.35,"Bottles and Cans"
"764","HI",2015,17643.83,"Bottles and Cans"
"765","HI",2016,24101.03,"Bottles and Cans"
"766","HI",2017,30194.62,"Bottles and Cans"
"767","HI",2018,34458.29,"Bottles and Cans"
"768","HI",2019,35265.45,"Bottles and Cans"
"769","IA",2008,1951.71,"Bottles and Cans"
"770","IA",2009,2714.54,"Bottles and Cans"
"771","IA",2010,3817.78,"Bottles and Cans"
"772","IA",2011,4178.1,"Bottles and Cans"
"773","IA",2012,4309.38,"Bottles and Cans"
"774","IA",2013,5519.98,"Bottles and Cans"
"775","IA",2014,8090.96,"Bottles and Cans"
"776","IA",2015,6886.79,"Bottles and Cans"
"777","IA",2016,4303.13,"Bottles and Cans"
"778","IA",2017,5108.17,"Bottles and Cans"
"779","IA",2018,10200.98,"Bottles and Cans"
"780","IA",2019,29810.82,"Bottles and Cans"
"781","ID",2008,4710.76,"Bottles and Cans"
"782","ID",2009,4765.33,"Bottles and Cans"
"783","ID",2010,6143.5,"Bottles and Cans"
"784","ID",2011,6407.47,"Bottles and Cans"
"785","ID",2012,9112.66,"Bottles and Cans"
"786","ID",2013,11093.1,"Bottles and Cans"
"787","ID",2014,14718.98,"Bottles and Cans"
"788","ID",2015,15257.78,"Bottles and Cans"
"789","ID",2016,15422.23,"Bottles and Cans"
"790","ID",2017,16421.24,"Bottles and Cans"
"791","ID",2018,14567.03,"Bottles and Cans"
"792","ID",2019,16303.95,"Bottles and Cans"
"793","IL",2008,735775.96,"Bottles and Cans"
"794","IL",2009,920737.45,"Bottles and Cans"
"795","IL",2010,935134.49,"Bottles and Cans"
"796","IL",2011,911312.4,"Bottles and Cans"
"797","IL",2012,786867.4,"Bottles and Cans"
"798","IL",2013,944038.45,"Bottles and Cans"
"799","IL",2014,946826.09,"Bottles and Cans"
"800","IL",2015,1177503.56,"Bottles and Cans"
"801","IL",2016,1281395.63,"Bottles and Cans"
"802","IL",2017,1127874.13,"Bottles and Cans"
"803","IL",2018,1209497.06,"Bottles and Cans"
"804","IL",2019,1225146.67,"Bottles and Cans"
"805","IN",2008,7626.27,"Bottles and Cans"
"806","IN",2009,9704.3,"Bottles and Cans"
"807","IN",2010,13724.96,"Bottles and Cans"
"808","IN",2011,19393.24,"Bottles and Cans"
"809","IN",2012,32664.02,"Bottles and Cans"
"810","IN",2013,37750.09,"Bottles and Cans"
"811","IN",2014,48204.65,"Bottles and Cans"
"812","IN",2015,55466.71,"Bottles and Cans"
"813","IN",2016,67624,"Bottles and Cans"
"814","IN",2017,72637.37,"Bottles and Cans"
"815","IN",2018,68032.19,"Bottles and Cans"
"816","IN",2019,61722.24,"Bottles and Cans"
"817","KS",2008,749,"Bottles and Cans"
"818","KS",2009,1869.36,"Bottles and Cans"
"819","KS",2010,4887.37,"Bottles and Cans"
"820","KS",2011,9179.79,"Bottles and Cans"
"821","KS",2012,9537.42,"Bottles and Cans"
"822","KS",2013,11226.9,"Bottles and Cans"
"823","KS",2014,15852.43,"Bottles and Cans"
"824","KS",2015,19051.11,"Bottles and Cans"
"825","KS",2016,17069.96,"Bottles and Cans"
"826","KS",2017,16123.88,"Bottles and Cans"
"827","KS",2018,6626.39,"Bottles and Cans"
"828","KS",2019,6917.34,"Bottles and Cans"
"829","KY",2008,76976.9,"Bottles and Cans"
"830","KY",2009,76927.25,"Bottles and Cans"
"831","KY",2010,68413.44,"Bottles and Cans"
"832","KY",2011,58747.18,"Bottles and Cans"
"833","KY",2012,70540.28,"Bottles and Cans"
"834","KY",2013,78440.18,"Bottles and Cans"
"835","KY",2014,86161.38,"Bottles and Cans"
"836","KY",2015,99595.65,"Bottles and Cans"
"837","KY",2016,97413.84,"Bottles and Cans"
"838","KY",2017,115167.63,"Bottles and Cans"
"839","KY",2018,129683.59,"Bottles and Cans"
"840","KY",2019,144579.27,"Bottles and Cans"
"841","LA",2008,53303.39,"Bottles and Cans"
"842","LA",2009,58728.33,"Bottles and Cans"
"843","LA",2010,71390.8,"Bottles and Cans"
"844","LA",2011,81163.65,"Bottles and Cans"
"845","LA",2012,98359.97,"Bottles and Cans"
"846","LA",2013,101715.41,"Bottles and Cans"
"847","LA",2014,109386.36,"Bottles and Cans"
"848","LA",2015,109962.3,"Bottles and Cans"
"849","LA",2016,104479.26,"Bottles and Cans"
"850","LA",2017,102647.73,"Bottles and Cans"
"851","LA",2018,97625.45,"Bottles and Cans"
"852","LA",2019,83159.92,"Bottles and Cans"
"853","MA",2008,51229.45,"Bottles and Cans"
"854","MA",2009,64333.05,"Bottles and Cans"
"855","MA",2010,72352.47,"Bottles and Cans"
"856","MA",2011,91092.86,"Bottles and Cans"
"857","MA",2012,107665.45,"Bottles and Cans"
"858","MA",2013,127282.86,"Bottles and Cans"
"859","MA",2014,133223.43,"Bottles and Cans"
"860","MA",2015,140674.77,"Bottles and Cans"
"861","MA",2016,168617.48,"Bottles and Cans"
"862","MA",2017,232429.02,"Bottles and Cans"
"863","MA",2018,233473.01,"Bottles and Cans"
"864","MA",2019,228565.35,"Bottles and Cans"
"865","MD",2008,47959.13,"Bottles and Cans"
"866","MD",2009,48841.34,"Bottles and Cans"
"867","MD",2010,63027.57,"Bottles and Cans"
"868","MD",2011,74120.55,"Bottles and Cans"
"869","MD",2012,75360.92,"Bottles and Cans"
"870","MD",2013,89731.45,"Bottles and Cans"
"871","MD",2014,104085.75,"Bottles and Cans"
"872","MD",2015,113778.85,"Bottles and Cans"
"873","MD",2016,110105.25,"Bottles and Cans"
"874","MD",2017,109556.2,"Bottles and Cans"
"875","MD",2018,221125.22,"Bottles and Cans"
"876","MD",2019,302088.7,"Bottles and Cans"
"877","ME",2008,76817.87,"Bottles and Cans"
"878","ME",2009,74021.63,"Bottles and Cans"
"879","ME",2010,88631.9,"Bottles and Cans"
"880","ME",2011,114906.5,"Bottles and Cans"
"881","ME",2012,124123.97,"Bottles and Cans"
"882","ME",2013,122877.92,"Bottles and Cans"
"883","ME",2014,132025.53,"Bottles and Cans"
"884","ME",2015,136646.89,"Bottles and Cans"
"885","ME",2016,136065.27,"Bottles and Cans"
"886","ME",2017,126135.75,"Bottles and Cans"
"887","ME",2018,83500.42,"Bottles and Cans"
"888","ME",2019,73118.94,"Bottles and Cans"
"889","MI",2008,83937.28,"Bottles and Cans"
"890","MI",2009,95754.44,"Bottles and Cans"
"891","MI",2010,129159.89,"Bottles and Cans"
"892","MI",2011,198151.04,"Bottles and Cans"
"893","MI",2012,284832.91,"Bottles and Cans"
"894","MI",2013,272746.16,"Bottles and Cans"
"895","MI",2014,419973.01,"Bottles and Cans"
"896","MI",2015,542697.93,"Bottles and Cans"
"897","MI",2016,630694.91,"Bottles and Cans"
"898","MI",2017,781680.17,"Bottles and Cans"
"899","MI",2018,902093.81,"Bottles and Cans"
"900","MI",2019,948026.03,"Bottles and Cans"
"901","MN",2008,223517.81,"Bottles and Cans"
"902","MN",2009,221315.48,"Bottles and Cans"
"903","MN",2010,212445.88,"Bottles and Cans"
"904","MN",2011,259668.58,"Bottles and Cans"
"905","MN",2012,232657.19,"Bottles and Cans"
"906","MN",2013,253317.42,"Bottles and Cans"
"907","MN",2014,285724.01,"Bottles and Cans"
"908","MN",2015,314887.35,"Bottles and Cans"
"909","MN",2016,305430.57,"Bottles and Cans"
"910","MN",2017,331456.26,"Bottles and Cans"
"911","MN",2018,442264.6,"Bottles and Cans"
"912","MN",2019,1393791.89,"Bottles and Cans"
"913","MO",2008,14124480.48,"Bottles and Cans"
"914","MO",2009,13429771.56,"Bottles and Cans"
"915","MO",2010,12455434.53,"Bottles and Cans"
"916","MO",2011,12278066.32,"Bottles and Cans"
"917","MO",2012,12808818.03,"Bottles and Cans"
"918","MO",2013,12586027.39,"Bottles and Cans"
"919","MO",2014,12366680.51,"Bottles and Cans"
"920","MO",2015,12493739.84,"Bottles and Cans"
"921","MO",2016,12567319.73,"Bottles and Cans"
"922","MO",2017,12110143.63,"Bottles and Cans"
"923","MO",2018,11927936.41,"Bottles and Cans"
"924","MO",2019,11393001.56,"Bottles and Cans"
"925","MS",2008,1952.64,"Bottles and Cans"
"926","MS",2009,3521.57,"Bottles and Cans"
"927","MS",2010,5188.87,"Bottles and Cans"
"928","MS",2011,6646.41,"Bottles and Cans"
"929","MS",2012,8051.63,"Bottles and Cans"
"930","MS",2013,10044.08,"Bottles and Cans"
"931","MS",2014,13409.98,"Bottles and Cans"
"932","MS",2015,11793.55,"Bottles and Cans"
"933","MS",2016,8237.78,"Bottles and Cans"
"934","MS",2017,6798.97,"Bottles and Cans"
"935","MS",2018,6788.76,"Bottles and Cans"
"936","MS",2019,6174.98,"Bottles and Cans"
"937","MT",2008,32902.39,"Bottles and Cans"
"938","MT",2009,36322.98,"Bottles and Cans"
"939","MT",2010,42673.97,"Bottles and Cans"
"940","MT",2011,50457.49,"Bottles and Cans"
"941","MT",2012,53243.54,"Bottles and Cans"
"942","MT",2013,56224.96,"Bottles and Cans"
"943","MT",2014,64538.3,"Bottles and Cans"
"944","MT",2015,71159.76,"Bottles and Cans"
"945","MT",2016,65207.68,"Bottles and Cans"
"946","MT",2017,67927.38,"Bottles and Cans"
"947","MT",2018,63609.62,"Bottles and Cans"
"948","MT",2019,60992.74,"Bottles and Cans"
"949","NC",2008,6717728.97,"Bottles and Cans"
"950","NC",2009,7129633.14,"Bottles and Cans"
"951","NC",2010,6943748.84,"Bottles and Cans"
"952","NC",2011,6600785.11,"Bottles and Cans"
"953","NC",2012,6735801.22,"Bottles and Cans"
"954","NC",2013,6515751.81,"Bottles and Cans"
"955","NC",2014,6311112.23,"Bottles and Cans"
"956","NC",2015,6341549.69,"Bottles and Cans"
"957","NC",2016,3389539.45,"Bottles and Cans"
"958","NC",2017,880391.57,"Bottles and Cans"
"959","NC",2018,935057.28,"Bottles and Cans"
"960","NC",2019,982104.25,"Bottles and Cans"
"961","ND",2008,NA,"Bottles and Cans"
"962","ND",2009,NA,"Bottles and Cans"
"963","ND",2010,NA,"Bottles and Cans"
"964","ND",2011,NA,"Bottles and Cans"
"965","ND",2012,NA,"Bottles and Cans"
"966","ND",2013,133.11,"Bottles and Cans"
"967","ND",2014,1363.95,"Bottles and Cans"
"968","ND",2015,1891.37,"Bottles and Cans"
"969","ND",2016,771.99,"Bottles and Cans"
"970","ND",2017,1480.51,"Bottles and Cans"
"971","ND",2018,241.84,"Bottles and Cans"
"972","ND",2019,36.88,"Bottles and Cans"
"973","NE",2008,1792.16,"Bottles and Cans"
"974","NE",2009,2575.65,"Bottles and Cans"
"975","NE",2010,4950.25,"Bottles and Cans"
"976","NE",2011,5885.5,"Bottles and Cans"
"977","NE",2012,6780.45,"Bottles and Cans"
"978","NE",2013,2073.18,"Bottles and Cans"
"979","NE",2014,12738.17,"Bottles and Cans"
"980","NE",2015,10792.33,"Bottles and Cans"
"981","NE",2016,13944.91,"Bottles and Cans"
"982","NE",2017,13914.72,"Bottles and Cans"
"983","NE",2018,13114.23,"Bottles and Cans"
"984","NE",2019,13354.17,"Bottles and Cans"
"985","NH",2008,2786576.49,"Bottles and Cans"
"986","NH",2009,2817627.46,"Bottles and Cans"
"987","NH",2010,2885016.06,"Bottles and Cans"
"988","NH",2011,2734941.12,"Bottles and Cans"
"989","NH",2012,2927305.84,"Bottles and Cans"
"990","NH",2013,2854790.85,"Bottles and Cans"
"991","NH",2014,2745595.26,"Bottles and Cans"
"992","NH",2015,2856383.87,"Bottles and Cans"
"993","NH",2016,2837839.95,"Bottles and Cans"
"994","NH",2017,2746031.96,"Bottles and Cans"
"995","NH",2018,2579021.31,"Bottles and Cans"
"996","NH",2019,2276766.48,"Bottles and Cans"
"997","NJ",2008,6600357.44,"Bottles and Cans"
"998","NJ",2009,6522536.49,"Bottles and Cans"
"999","NJ",2010,6920666.14,"Bottles and Cans"
"1000","NJ",2011,5908969.19,"Bottles and Cans"
"1001","NJ",2012,4572952.86,"Bottles and Cans"
"1002","NJ",2013,4264380.69,"Bottles and Cans"
"1003","NJ",2014,4316395.59,"Bottles and Cans"
"1004","NJ",2015,3221454.37,"Bottles and Cans"
"1005","NJ",2016,2660433.24,"Bottles and Cans"
"1006","NJ",2017,2439250.35,"Bottles and Cans"
"1007","NJ",2018,2770939.78,"Bottles and Cans"
"1008","NJ",2019,2507478.59,"Bottles and Cans"
"1009","NM",2008,4447.6,"Bottles and Cans"
"1010","NM",2009,6387.49,"Bottles and Cans"
"1011","NM",2010,9364.7,"Bottles and Cans"
"1012","NM",2011,14169.83,"Bottles and Cans"
"1013","NM",2012,17164.28,"Bottles and Cans"
"1014","NM",2013,18327.17,"Bottles and Cans"
"1015","NM",2014,26140.3,"Bottles and Cans"
"1016","NM",2015,30487.22,"Bottles and Cans"
"1017","NM",2016,29126.65,"Bottles and Cans"
"1018","NM",2017,38350.28,"Bottles and Cans"
"1019","NM",2018,48212.94,"Bottles and Cans"
"1020","NM",2019,55513.97,"Bottles and Cans"
"1021","NV",2008,234.05,"Bottles and Cans"
"1022","NV",2009,700.47,"Bottles and Cans"
"1023","NV",2010,939.85,"Bottles and Cans"
"1024","NV",2011,1790.02,"Bottles and Cans"
"1025","NV",2012,3647.33,"Bottles and Cans"
"1026","NV",2013,4561.27,"Bottles and Cans"
"1027","NV",2014,6322.08,"Bottles and Cans"
"1028","NV",2015,6091,"Bottles and Cans"
"1029","NV",2016,6477.36,"Bottles and Cans"
"1030","NV",2017,8418.87,"Bottles and Cans"
"1031","NV",2018,12241.81,"Bottles and Cans"
"1032","NV",2019,17351.27,"Bottles and Cans"
"1033","NY",2008,6997372.81,"Bottles and Cans"
"1034","NY",2009,6307846.95,"Bottles and Cans"
"1035","NY",2010,6376824.8,"Bottles and Cans"
"1036","NY",2011,5779655.18,"Bottles and Cans"
"1037","NY",2012,6832275.59,"Bottles and Cans"
"1038","NY",2013,7166945.25,"Bottles and Cans"
"1039","NY",2014,6749799.4,"Bottles and Cans"
"1040","NY",2015,7218516.11,"Bottles and Cans"
"1041","NY",2016,7555530.53,"Bottles and Cans"
"1042","NY",2017,7507875.58,"Bottles and Cans"
"1043","NY",2018,7428652.03,"Bottles and Cans"
"1044","NY",2019,7720584.9,"Bottles and Cans"
"1045","OH",2008,18015059.22,"Bottles and Cans"
"1046","OH",2009,17920640.25,"Bottles and Cans"
"1047","OH",2010,18272288.93,"Bottles and Cans"
"1048","OH",2011,18312552.08,"Bottles and Cans"
"1049","OH",2012,17318045.77,"Bottles and Cans"
"1050","OH",2013,16646929.63,"Bottles and Cans"
"1051","OH",2014,17044931.31,"Bottles and Cans"
"1052","OH",2015,18060472.31,"Bottles and Cans"
"1053","OH",2016,18130886.35,"Bottles and Cans"
"1054","OH",2017,17733218.04,"Bottles and Cans"
"1055","OH",2018,16201555.3,"Bottles and Cans"
"1056","OH",2019,16176334.47,"Bottles and Cans"
"1057","OK",2008,1186.99,"Bottles and Cans"
"1058","OK",2009,2284.47,"Bottles and Cans"
"1059","OK",2010,2937.63,"Bottles and Cans"
"1060","OK",2011,3593.6,"Bottles and Cans"
"1061","OK",2012,3706.66,"Bottles and Cans"
"1062","OK",2013,3141.24,"Bottles and Cans"
"1063","OK",2014,5620.53,"Bottles and Cans"
"1064","OK",2015,6990.95,"Bottles and Cans"
"1065","OK",2016,8597.36,"Bottles and Cans"
"1066","OK",2017,8032.06,"Bottles and Cans"
"1067","OK",2018,183.59,"Bottles and Cans"
"1068","OK",2019,589.29,"Bottles and Cans"
"1069","OR",2008,524814.27,"Bottles and Cans"
"1070","OR",2009,581456.86,"Bottles and Cans"
"1071","OR",2010,659065.27,"Bottles and Cans"
"1072","OR",2011,772698.31,"Bottles and Cans"
"1073","OR",2012,848065.57,"Bottles and Cans"
"1074","OR",2013,937521.77,"Bottles and Cans"
"1075","OR",2014,1036589.35,"Bottles and Cans"
"1076","OR",2015,1089613.2,"Bottles and Cans"
"1077","OR",2016,1124515.37,"Bottles and Cans"
"1078","OR",2017,1019538.32,"Bottles and Cans"
"1079","OR",2018,990592.29,"Bottles and Cans"
"1080","OR",2019,970083.59,"Bottles and Cans"
"1081","PA",2008,2238872.56,"Bottles and Cans"
"1082","PA",2009,2262763.16,"Bottles and Cans"
"1083","PA",2010,2685440.45,"Bottles and Cans"
"1084","PA",2011,3128166.8,"Bottles and Cans"
"1085","PA",2012,3411033.49,"Bottles and Cans"
"1086","PA",2013,4005887.4,"Bottles and Cans"
"1087","PA",2014,4246712.36,"Bottles and Cans"
"1088","PA",2015,4140992.46,"Bottles and Cans"
"1089","PA",2016,3853670.66,"Bottles and Cans"
"1090","PA",2017,3637399.93,"Bottles and Cans"
"1091","PA",2018,4126266.57,"Bottles and Cans"
"1092","PA",2019,5175879.25,"Bottles and Cans"
"1093","RI",2008,78,"Bottles and Cans"
"1094","RI",2009,76,"Bottles and Cans"
"1095","RI",2010,1613,"Bottles and Cans"
"1096","RI",2011,1692,"Bottles and Cans"
"1097","RI",2012,2021.32,"Bottles and Cans"
"1098","RI",2013,4181.58,"Bottles and Cans"
"1099","RI",2014,4949.18,"Bottles and Cans"
"1100","RI",2015,5592.76,"Bottles and Cans"
"1101","RI",2016,6646.02,"Bottles and Cans"
"1102","RI",2017,16985.26,"Bottles and Cans"
"1103","RI",2018,32268.25,"Bottles and Cans"
"1104","RI",2019,42190.46,"Bottles and Cans"
"1105","SC",2008,3475.55,"Bottles and Cans"
"1106","SC",2009,4733.84,"Bottles and Cans"
"1107","SC",2010,6346.93,"Bottles and Cans"
"1108","SC",2011,10771.16,"Bottles and Cans"
"1109","SC",2012,12903.66,"Bottles and Cans"
"1110","SC",2013,17725.52,"Bottles and Cans"
"1111","SC",2014,21211.65,"Bottles and Cans"
"1112","SC",2015,24319.79,"Bottles and Cans"
"1113","SC",2016,20753.29,"Bottles and Cans"
"1114","SC",2017,20894.82,"Bottles and Cans"
"1115","SC",2018,19482.87,"Bottles and Cans"
"1116","SC",2019,17600.06,"Bottles and Cans"
"1117","SD",2008,NA,"Bottles and Cans"
"1118","SD",2009,NA,"Bottles and Cans"
"1119","SD",2010,97.6,"Bottles and Cans"
"1120","SD",2011,424.14,"Bottles and Cans"
"1121","SD",2012,619.7,"Bottles and Cans"
"1122","SD",2013,785.06,"Bottles and Cans"
"1123","SD",2014,823.65,"Bottles and Cans"
"1124","SD",2015,1028.03,"Bottles and Cans"
"1125","SD",2016,935.83,"Bottles and Cans"
"1126","SD",2017,1132.85,"Bottles and Cans"
"1127","SD",2018,877.45,"Bottles and Cans"
"1128","SD",2019,935.45,"Bottles and Cans"
"1129","TN",2008,292.08,"Bottles and Cans"
"1130","TN",2009,98.75,"Bottles and Cans"
"1131","TN",2010,112.1,"Bottles and Cans"
"1132","TN",2011,1051.89,"Bottles and Cans"
"1133","TN",2012,380277,"Bottles and Cans"
"1134","TN",2013,560336.92,"Bottles and Cans"
"1135","TN",2014,696681.85,"Bottles and Cans"
"1136","TN",2015,1073651.26,"Bottles and Cans"
"1137","TN",2016,1116453.27,"Bottles and Cans"
"1138","TN",2017,1307141.77,"Bottles and Cans"
"1139","TN",2018,1750984.8,"Bottles and Cans"
"1140","TN",2019,2641268.05,"Bottles and Cans"
"1141","TX",2008,18671765.96,"Bottles and Cans"
"1142","TX",2009,19020183.48,"Bottles and Cans"
"1143","TX",2010,18985409.81,"Bottles and Cans"
"1144","TX",2011,18934858.19,"Bottles and Cans"
"1145","TX",2012,17941441.31,"Bottles and Cans"
"1146","TX",2013,18373013.26,"Bottles and Cans"
"1147","TX",2014,18841742.38,"Bottles and Cans"
"1148","TX",2015,18151237.17,"Bottles and Cans"
"1149","TX",2016,18582286.52,"Bottles and Cans"
"1150","TX",2017,18110667.95,"Bottles and Cans"
"1151","TX",2018,16987670.45,"Bottles and Cans"
"1152","TX",2019,16934638.35,"Bottles and Cans"
"1153","UT",2008,22701.49,"Bottles and Cans"
"1154","UT",2009,22586.94,"Bottles and Cans"
"1155","UT",2010,28681.77,"Bottles and Cans"
"1156","UT",2011,40477.43,"Bottles and Cans"
"1157","UT",2012,62120.44,"Bottles and Cans"
"1158","UT",2013,80300.79,"Bottles and Cans"
"1159","UT",2014,101610.11,"Bottles and Cans"
"1160","UT",2015,117512.5,"Bottles and Cans"
"1161","UT",2016,124719.01,"Bottles and Cans"
"1162","UT",2017,126456.78,"Bottles and Cans"
"1163","UT",2018,110817.78,"Bottles and Cans"
"1164","UT",2019,91927.41,"Bottles and Cans"
"1165","VA",2008,14083265,"Bottles and Cans"
"1166","VA",2009,13471382.64,"Bottles and Cans"
"1167","VA",2010,12809681.79,"Bottles and Cans"
"1168","VA",2011,12531661.75,"Bottles and Cans"
"1169","VA",2012,13408374.35,"Bottles and Cans"
"1170","VA",2013,12891463.92,"Bottles and Cans"
"1171","VA",2014,12259344.53,"Bottles and Cans"
"1172","VA",2015,11190928.41,"Bottles and Cans"
"1173","VA",2016,11211279.68,"Bottles and Cans"
"1174","VA",2017,12678626.95,"Bottles and Cans"
"1175","VA",2018,12333484.1,"Bottles and Cans"
"1176","VA",2019,12829543.99,"Bottles and Cans"
"1177","VT",2008,219875.42,"Bottles and Cans"
"1178","VT",2009,217101.35,"Bottles and Cans"
"1179","VT",2010,248184.49,"Bottles and Cans"
"1180","VT",2011,289840.71,"Bottles and Cans"
"1181","VT",2012,273965.87,"Bottles and Cans"
"1182","VT",2013,271560.29,"Bottles and Cans"
"1183","VT",2014,258101.46,"Bottles and Cans"
"1184","VT",2015,264417.4,"Bottles and Cans"
"1185","VT",2016,220195.37,"Bottles and Cans"
"1186","VT",2017,208884.06,"Bottles and Cans"
"1187","VT",2018,187172.15,"Bottles and Cans"
"1188","VT",2019,178160.04,"Bottles and Cans"
"1189","WA",2008,130485.73,"Bottles and Cans"
"1190","WA",2009,126287.74,"Bottles and Cans"
"1191","WA",2010,128996.61,"Bottles and Cans"
"1192","WA",2011,121471.16,"Bottles and Cans"
"1193","WA",2012,116944.26,"Bottles and Cans"
"1194","WA",2013,125917.12,"Bottles and Cans"
"1195","WA",2014,140925.38,"Bottles and Cans"
"1196","WA",2015,163346.76,"Bottles and Cans"
"1197","WA",2016,139649.07,"Bottles and Cans"
"1198","WA",2017,142440.45,"Bottles and Cans"
"1199","WA",2018,174684.94,"Bottles and Cans"
"1200","WA",2019,188786.24,"Bottles and Cans"
"1201","WI",2008,7202790.46,"Bottles and Cans"
