"year","brewer_size","n_of_brewers","total_barrels","taxable_removals","total_shipped"
2016,"60,001 to 100,000 Barrels",38,3052311.48,2395062.26,48970
2016,"30,001 to 60,000 Barrels",53,2329947.35,2069205.94,85136
2016,"15,001 to 30,000 Barrels",75,1577515.39,1341223.91,37302
2016,"7,501 to 15,000 Barrels",148,1550640.42,1351541.96,11813
2016,"1,001 to 7,500 Barrels",935,2461722.99,2282897.14,13608
2016,"1 to 1,000 Barrels",3283,993337.920000003,864097.200000001,889
2016,"Under 1 Barrel",488,4.43,102983.4,601
2016,"Total",5096,189839913.65,172957178.11,6490978
2017,"6,000,001 Barrels and Over",15,135615117.47,124049346.77,5331930
2017,"2,000,000 to 6,000,000 Barrels",5,17288133.2,16092810.95,1015504
2017,"1,000,001 to 1,999,999 Barrels",4,4868564.08,4897090.56,4110
2017,"500,001 to 1,000,000 Barrels",10,6253029.02,5720117.89,94410
2017,"100,001 to 500,000 Barrels",40,8792844.25,6811548.01,235283
2017,"60,001 to 100,000 Barrels",41,3175932.85,2714928.75,47505
2017,"30,001 to 60,000 Barrels",53,2230144.53,1940812.97,27479
2017,"15,001 to 30,000 Barrels",99,2062332.14,2239986.46,38491
2017,"7,501 to 15,000 Barrels",152,1565335.71,1556842.26,6874
2017,"1,001 to 7,500 Barrels",1030,2656419.36,3626288.32,11294
2017,"1 to 1,000 Barrels",3646,1073977.86,1003361.14,790
2017,"Under 1 Barrel",553,6.73,107494.1,503
2017,"Total",5648,185581837.2,170760628.18,6814178
2018,"6,000,001 Barrels and Over",15,131336734.02,124471154.47,5749122
2018,"2,000,000 to 6,000,000 Barrels",5,17410932.97,17957039.46,734605
2018,"1,000,001 to 1,999,999 Barrels",5,6076447.34,6110085.42,3062
2018,"500,001 to 1,000,000 Barrels",10,5859956.25,4794122.05,111188
2018,"100,001 to 500,000 Barrels",42,8777286.22,7630983.19,170814
2018,"60,001 to 100,000 Barrels",40,3120044.87,4465192.18,72115
2018,"30,001 to 60,000 Barrels",53,2170405.47,2381170.54,43487
2018,"15,001 to 30,000 Barrels",102,2124238.48,1871360.04,15417
2018,"7,501 to 15,000 Barrels",155,1618340.38,1406728.12,3983
2018,"1,001 to 7,500 Barrels",1132,3058297.95,2641714.49,2588
